,country,year,region,rank,score,social_support,health,freedom,trust,generosity,social_support_std,health_std,freedom_std,trust_std,generosity_std,gdp_std,total_area,pop,cumulative_cases,rate_cases
6,United States,2021,North America,19,6.9510000000000005,0.92,68.2,0.8370000000000001,0.698,0.098,0.9192350990000001,0.47589437100000004,0.401968554,0.164869698,0.7534732590000001,1.377658555,9372610,332915,33723155,0.10129659222324017
29,India,2021,Asia,139,3.819,0.603,60.633,0.893,0.774,0.08900000000000001,-1.849255076,-0.646920295,0.89775948,-0.260605338,0.693533315,-0.5864761070000001,3287590,1393409,31144229,0.022351103660160083
11,Brazil,2021,South America,35,6.33,0.882,66.601,0.804,0.7559999999999999,-0.071,0.587365614,0.238629847,0.109806044,-0.159834935,-0.372065694,0.125392804,8515767,213993,19342448,0.09038822765230638
20,Russia,2021,Asia,76,5.477,0.903,64.703,0.718,0.845,-0.111,0.7707671709999999,-0.043001214,-0.6515871639999999,-0.658088595,-0.6384654470000001,0.655397396,17098242,145912,5982766,0.04100256318877132
8,France,2021,Europe,21,6.69,0.9420000000000001,74.0,0.8220000000000001,0.5710000000000001,-0.147,1.111370063,1.336516157,0.269167413,0.875860876,-0.878225224,1.101397991,551695,65426,5749620,0.08787974199859383
24,Turkey,2021,Asia,104,4.948,0.8220000000000001,67.199,0.5760000000000001,0.7759999999999999,-0.139,0.063361164,0.32736292100000003,-1.9087712980000002,-0.271802049,-0.8249452740000001,0.699564445,783562,85043,5529719,0.06502262384911163
4,United Kingdom,2021,Europe,17,7.064,0.934,72.5,0.8590000000000001,0.45899999999999996,0.233,1.041502803,1.113941557,0.596743561,1.5028767180000002,1.6525724240000002,1.103996053,242900,68207,5433943,0.07966840646854428
17,Argentina,2021,South America,57,5.928999999999999,0.898,69.0,0.828,0.8340000000000001,-0.182,0.7271001340000001,0.594600824,0.32228787,-0.596506682,-1.111325007,0.458810725,2780400,45606,4749443,0.10414074902425119
16,Colombia,2021,South America,52,6.0120000000000005,0.847,68.001,0.8370000000000001,0.841,-0.135,0.281696352,0.44636614,0.401968554,-0.635695172,-0.7983052979999999,0.108072393,1141748,51266,4621260,0.09014278469160847
9,Spain,2021,Europe,27,6.4910000000000005,0.932,74.7,0.7609999999999999,0.745,-0.081,1.024035988,1.440384304,-0.27089056,-0.098253022,-0.43866563299999994,0.986217255,505992,46745,4492066,0.09609725104289228
10,Italy,2021,Europe,28,6.483,0.88,73.8,0.693,0.866,-0.084,0.569898799,1.306839544,-0.872922399,-0.775654065,-0.458645614,1.031250325,301336,60367,4287458,0.07102320804413007
2,Germany,2021,Europe,13,7.155,0.903,72.5,0.875,0.46,0.011000000000000001,0.7707671709999999,1.113941557,0.738398111,1.4972783619999999,0.174053798,1.247755468,357114,83900,3745227,0.04463917759237187
28,Iran,2021,Asia,118,4.721,0.71,66.3,0.608,0.7140000000000001,0.218,-0.914780475,0.193966544,-1.6254621980000001,0.075296006,1.552672517,0.13145494800000002,1648195,85029,3523263,0.041436015947500265
21,Indonesia,2021,Asia,82,5.345,0.8109999999999999,62.236000000000004,0.873,0.867,0.542,-0.032706318,-0.409062239,0.720691292,-0.7812524209999999,3.7105105110000003,-0.058203557,1904569,276362,2911733,0.010535938370687722
14,Poland,2021,Europe,44,6.166,0.898,69.702,0.841,0.735,-0.165,0.7271001340000001,0.698765737,0.437382192,-0.04226946400000001,-0.9981051129999999,0.8225393670000001,312679,37797,2881491,0.07623597110881816
12,Mexico,2021,North America,36,6.317,0.831,68.597,0.862,0.799,-0.147,0.14196183199999998,0.534802448,0.6233037889999999,-0.400564231,-0.878225224,0.369610606,1964375,130262,2654699,0.020379688627535274
23,South Africa,2021,Africa,103,4.956,0.86,56.903999999999996,0.7490000000000001,0.86,-0.067,0.395230649,-1.200240751,-0.377131473,-0.7420639309999999,-0.34542571899999996,-0.025294775,1221037,60042,2295095,0.038224825955164715
26,Ukraine,2021,Europe,110,4.875,0.888,64.902,0.7240000000000001,0.924,-0.011000000000000001,0.6397660589999999,-0.013472983000000001,-0.598466708,-1.100358698,0.027533934,0.0032839040000000002,603500,43467,2244677,0.0516409460050153
19,Peru,2021,South America,63,5.84,0.8320000000000001,68.25,0.8220000000000001,0.8909999999999999,-0.154,0.150695239,0.483313524,0.269167413,-0.9156129590000001,-0.9248451809999999,0.022336356,1285216,33359,2092125,0.0627154590964957
0,Netherlands,2021,Europe,5,7.4639999999999995,0.9420000000000001,72.4,0.9129999999999999,0.33799999999999997,0.175,1.111370063,1.0991032509999998,1.074827668,2.180277761,1.266292783,1.298850682,41850,17173,1798570,0.10473242881267106
5,Czech Republic,2021,Europe,18,6.965,0.9470000000000001,70.807,0.858,0.868,-0.20800000000000002,1.155037101,0.8627290259999999,0.587890151,-0.7868507770000001,-1.284484846,0.973226947,78865,10725,1671145,0.15581771561771562
13,Chile,2021,South America,43,6.172000000000001,0.882,70.0,0.742,0.83,-0.044000000000000004,0.587365614,0.742983891,-0.439105339,-0.574113259,-0.192245862,0.553206968,756102,19212,1599879,0.08327498438475953
18,Philippines,2021,Asia,61,5.88,0.83,62.0,0.917,0.742,-0.09699999999999999,0.133228424,-0.444080643,1.110241306,-0.081457955,-0.545225534,-0.308483503,342353,111047,1507755,0.013577629292101543
27,Iraq,2021,Asia,111,4.854,0.746,60.583,0.63,0.875,-0.053,-0.600377805,-0.654339448,-1.4306871909999999,-0.8260392670000001,-0.252185806,-0.166456129,438317,41179,1491712,0.03622506617450642
3,Canada,2021,North America,14,7.103,0.9259999999999999,73.8,0.915,0.415,0.08900000000000001,0.971635543,1.306839544,1.092534487,1.74920437,0.693533315,1.163751473,9984670,38068,1422918,0.03737832300094568
22,Bangladesh,2021,Asia,101,5.025,0.693,64.8,0.877,0.682,-0.040999999999999995,-1.063248402,-0.028608056,0.75610493,0.25444338899999996,-0.17226588,-0.8471483,147570,166303,1117310,0.006718519810225913
7,Belgium,2021,Europe,20,6.834,0.9059999999999999,72.199,0.7829999999999999,0.6459999999999999,-0.153,0.796967394,1.069278254,-0.076115553,0.455984196,-0.9181851870000001,1.20445444,30528,11632,1103413,0.0948601272352132
1,Sweden,2021,Europe,7,7.3629999999999995,0.934,72.7,0.945,0.237,0.086,1.041502803,1.143618171,1.3581367690000001,2.74571169,0.6735533340000001,1.242559345,450295,10160,1094287,0.10770541338582677
15,Romania,2021,Europe,46,6.14,0.8320000000000001,67.355,0.845,0.938,-0.21899999999999997,0.150695239,0.350510679,0.472795829,-1.178735678,-1.357744778,0.73766935,238391,19128,1081678,0.05654945629443747
25,Pakistan,2021,Asia,105,4.934,0.6509999999999999,58.708999999999996,0.726,0.787,0.098,-1.4300515169999999,-0.932409315,-0.580759889,-0.333383962,0.7534732590000001,-0.8436842179999999,881912,225200,989275,0.004392873001776199
