,year,country,region,rank,score,social_support,health,freedom,trust,generosity,social_support_std,health_std,freedom_std,trust_std,generosity_std,gdp_std,total_area,pop
46,2015,South Korea,Asia,47,5.984,0.9577399999999999,0.9653799999999999,0.33208000000000004,0.07857,0.18557,-0.12267123,1.36064935,-0.642644474,-0.541996453,-0.409598633,0.9916129690000001,100210,51015.0
214,2016,South Korea,Asia,57,5.835,0.7219399999999999,0.88645,0.25168,0.07716,0.18824000000000002,-0.269624723,1.438345079,-0.822612535,-0.546275074,-0.407974929,0.9861915809999999,100210,37989.0
369,2017,South Korea,Asia,55,5.837999821,1.1282744409999999,0.9002140759999999,0.257921666,0.063282669,0.206674367,-0.211721797,1.476357932,-1.009040375,-0.5905091029999999,-0.299297635,0.994104242,100210,51362.0
526,2018,South Korea,Asia,57,5.875,1.204,0.955,0.244,0.051,0.175,-0.030647457000000003,1.4492588119999998,-1.300201708,-0.634227451,-0.061193442,0.9587585740000001,100210,51607.0
679,2019,South Korea,Asia,54,5.895,1.219,1.036,0.159,0.055999999999999994,0.175,0.034154399,1.287593302,-1.6353103519999999,-0.579433811,-0.10369978,0.996832222,100210,51709.0
842,2020,South Korea,Asia,61,5.872399807000001,0.7993871570000001,73.60272979999999,0.6129651070000001,0.789067447,-0.043404032,-0.077104264,1.301710394,-1.451397368,-0.320432631,-0.19057149,1.014366635,100210,51781.0
996,2021,South Korea,Asia,62,5.845,0.799,73.9,0.672,0.727,-0.083,-0.13750720800000002,1.321677851,-1.058843996,0.002517381,-0.45198562,1.055498901,100210,51822.0
5,2015,Finland,Europe,6,7.406000000000001,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,1.2051825859999998,1.05097959,1.418465859,2.2590054,-0.029976278999999998,1.1051896490000002,338424,5481.0
162,2016,Finland,Europe,5,7.412999999999999,1.1346399999999999,0.81091,0.57104,0.41003999999999996,0.25492,1.282725196,1.107924344,1.3792228869999998,2.46121326,0.092141185,1.099253433,338424,5498.0
319,2017,Finland,Europe,5,7.468999863,1.540246725,0.80915767,0.6179508570000001,0.38261154299999994,0.24548277300000002,1.227056668,1.091026496,1.39897778,2.5607997630000003,-0.010426141,1.09398544,338424,5511.0
470,2018,Finland,Europe,1,7.632000000000001,1.5919999999999999,0.8740000000000001,0.6809999999999999,0.39299999999999996,0.20199999999999999,1.256673339,1.121036523,1.398947195,2.9216051419999998,0.213883162,1.058588921,338424,5523.0
626,2019,Finland,Europe,1,7.769,1.587,0.986,0.596,0.39299999999999996,0.153,1.268097578,1.080422467,1.424282296,2.996757115,-0.335403977,1.0950416570000001,338424,5532.0
782,2020,Finland,Europe,1,7.808700085,0.954329729,71.9008255,0.949172199,0.19544458399999998,-0.059482019000000004,1.202823557,1.0597820359999999,1.4123598380000002,3.079488133,-0.29682878,1.1218268820000001,338424,5541.0
935,2021,Finland,Europe,1,7.8420000000000005,0.9540000000000001,72.0,0.9490000000000001,0.18600000000000003,-0.098,1.216170953,1.0397500240000002,1.393550407,3.031227832,-0.551885527,1.162885452,338424,5548.0
2,2015,Denmark,Europe,3,7.527,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,1.361054032,0.992228817,1.4696590969999999,2.8427738,0.824292797,1.1928606929999999,43094,5689.0
158,2016,Denmark,Europe,1,7.526,1.16374,0.79504,0.5794100000000001,0.44453000000000004,0.36171,1.3921833559999999,1.03850712,1.436930059,2.772821866,0.893091992,1.186298901,43094,5711.0
316,2017,Denmark,Europe,2,7.521999836,1.5511215930000002,0.792565525,0.6260067220000001,0.400770068,0.355280489,1.265036228,1.02081205,1.4528586030000001,2.7399978419999997,0.8068563390000001,1.186517685,43094,5732.0
472,2018,Denmark,Europe,3,7.555,1.59,0.868,0.6829999999999999,0.408,0.284,1.250037665,1.096723761,1.41130028,3.0775627119999998,1.049300995,1.176337535,43094,5752.0
627,2019,Denmark,Europe,2,7.6,1.5730000000000002,0.996,0.5920000000000001,0.41,0.252,1.221154088,1.121856634,1.396276871,3.177158438,0.707264909,1.203323855,43094,5772.0
783,2020,Denmark,Europe,2,7.645599842,0.955990791,72.40250397,0.9514442679999999,0.168489456,0.06620177599999999,1.216545025,1.131096415,1.4317129519999998,3.2338711680000003,0.5337987989999999,1.234325218,43094,5792.0
936,2021,Denmark,Europe,2,7.62,0.9540000000000001,72.7,0.946,0.179,0.03,1.216170953,1.143618171,1.3669901780000002,3.070416322,0.30059368,1.2997167029999999,43094,5813.0
0,2015,Switzerland,Europe,1,7.587000000000001,1.34951,0.9414299999999999,0.66557,0.41978000000000004,0.29678000000000004,1.320281421,1.263408092,1.5774378390000001,2.309651592,0.471039706,1.369621244,41284,8297.0
159,2016,Switzerland,Europe,2,7.5089999999999995,1.14524,0.86303,0.58557,0.41203,0.28083,1.322596553,1.335903279,1.479400331,2.4791924169999997,0.286472447,1.3943083930000002,41284,8380.0
318,2017,Switzerland,Europe,4,7.493999958,1.516911745,0.858131289,0.620070577,0.367007285,0.290549278,1.1455612179999999,1.298272485,1.413155309,2.4068085619999997,0.325027695,1.3834419059999998,41284,8456.0
474,2018,Switzerland,Europe,5,7.487,1.5490000000000002,0.927,0.66,0.35700000000000004,0.256,1.114006343,1.335799255,1.269239811,2.547306974,0.764036369,1.3529604569999998,41284,8526.0
631,2019,Switzerland,Europe,6,7.48,1.526,1.052,0.5720000000000001,0.34299999999999997,0.263,1.063558084,1.35388797,1.2562497479999999,2.46616499,0.823117007,1.377079009,41284,8591.0
784,2020,Switzerland,Europe,3,7.559899807000001,0.942846596,74.10244751,0.921336651,0.303728431,0.105911039,1.1079653059999999,1.3727460480000002,1.175261178,2.459302283,0.796232066,1.4062710109999998,41284,8655.0
937,2021,Switzerland,Europe,3,7.571000000000001,0.9420000000000001,74.4,0.919,0.292,0.025,1.111370063,1.395869384,1.127948125,2.437802125,0.267293711,1.459064489,41284,8715.0
1,2015,Iceland,Europe,2,7.561,1.4022299999999999,0.94784,0.6287699999999999,0.14145,0.4363,1.514457758,1.289433831,1.332455893,-0.016479531000000002,1.5758563680000002,1.135226251,103000,330.0
160,2016,Iceland,Europe,3,7.501,1.18326,0.8673299999999999,0.56624,0.14975,0.47678000000000004,1.4656068359999999,1.354711978,1.346129168,0.10955759300000001,1.7561448,1.149535564,103000,332.0
317,2017,Iceland,Europe,3,7.504000187000001,1.6105740069999999,0.8335521220000001,0.627162635,0.153526559,0.47554022100000004,1.472668771,1.194258653,1.4605898080000002,0.30006608100000004,1.7020131369999998,1.182345403,103000,334.0
473,2018,Iceland,Europe,4,7.495,1.6440000000000001,0.914,0.677,0.138,0.353,1.4292008680000001,1.283121604,1.3742410269999998,0.270326454,1.752274537,1.155859515,103000,337.0
629,2019,Iceland,Europe,4,7.494,1.624,1.026,0.591,0.11800000000000001,0.354,1.3921625169999998,1.246159135,1.389275515,0.078500425,1.781529822,1.195769283,103000,339.0
785,2020,Iceland,Europe,4,7.504499912000001,0.9746695759999999,73.0,0.948891878,0.7117097379999999,0.246944219,1.370844107,1.21603141,1.40997211,0.122626586,1.7283017,1.23312124,103000,341.0
938,2021,Iceland,Europe,4,7.553999999999999,0.983,73.0,0.955,0.6729999999999999,0.16,1.46943977,1.1881330909999999,1.446670863,0.30482859100000004,1.166392876,1.2520855709999998,103000,343.0
6,2015,Netherlands,Europe,7,7.377999999999999,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,1.064890919,1.066124053,1.245846787,1.46019962,1.891020524,1.2027152859999999,41850,16938.0
164,2016,Netherlands,Europe,7,7.3389999999999995,1.02912,0.8123100000000001,0.55211,0.29927,0.47416,0.885817119,1.114048106,1.248709534,1.4604337509999998,1.7364941669999998,1.241978824,41850,16981.0
