year,country,region,rank,score,social_support,health,freedom,trust,generosity,social_support_std,health_std,freedom_std,trust_std,generosity_std,gdp_std,total_area
2015,Switzerland,Europe,1,7.587,1.34951,0.94143,0.66557,0.41978,0.29678,1.320281421,1.263408092,1.577437839,2.309651592,0.471039706,1.369621244,41284
2015,Iceland,Europe,2,7.561,1.40223,0.94784,0.62877,0.14145,0.4363,1.514457758,1.289433831,1.332455893,-0.016479531,1.575856368,1.135226251,103000
2015,Denmark,Europe,3,7.527,1.36058,0.87464,0.64938,0.48357,0.34139,1.361054032,0.992228817,1.469659097,2.8427738,0.824292797,1.192860693,43094
2015,Norway,Europe,4,7.522,1.33095,0.88521,0.66973,0.36503,0.34699,1.251921921,1.035144896,1.60513145,1.852080798,0.868637502,1.525129717,323802
2015,Canada,North America,5,7.427,1.32261,0.90563,0.63297,0.32957,0.45811,1.221204344,1.118053727,1.360415789,1.555725358,1.748563158,1.194876405,9984670
2015,Finland,Europe,6,7.406,1.31826,0.88911,0.64169,0.41372,0.23351,1.205182586,1.05097959,1.418465859,2.2590054,-0.029976279,1.105189649,338424
2015,Netherlands,Europe,7,7.378,1.28017,0.89284,0.61576,0.31814,0.4761,1.064890919,1.066124053,1.245846787,1.46019962,1.891020524,1.202715286,41850
2015,Sweden,Europe,8,7.364,1.28907,0.91087,0.6598,0.43844,0.36262,1.097671067,1.139329058,1.539026267,2.465601747,0.992406743,1.208364258,450295
2015,New Zealand,Australia,9,7.286,1.31967,0.90837,0.63938,0.42922,0.47501,1.210375846,1.129178614,1.403087916,2.38854599,1.882389144,1.005474102,270467
2015,Australia,Australia,10,7.284,1.30923,0.93156,0.65124,0.35637,0.43562,1.171923627,1.223334137,1.482041337,1.779705217,1.570471653,1.213017816,7692024
2015,Israel,Africa,11,7.278,1.22393,0.91387,0.41319,0.07785,0.33172,0.857749849,1.151509592,-0.102685625,-0.548013822,0.747718993,0.951696888,20770
2015,Costa Rica,South America,12,7.226,1.23788,0.86027,0.63376,0.10583,0.25497,0.909129968,0.933884062,1.365674912,-0.314172164,0.139958967,0.272849769,51100
2015,Austria,Europe,13,7.2,1.29704,0.89042,0.62433,0.18676,0.33088,1.127025874,1.056298423,1.302898289,0.362196865,0.741067287,1.222100964,83871
2015,Mexico,South America,14,7.187,0.91451,0.81444,0.48181,0.21312,0.14074,-0.281894354,0.747806114,0.354125818,0.582499442,-0.764593837,0.434007214,1964375
2015,United States,North America,15,7.119,1.24711,0.86179,0.54604,0.1589,0.40105,0.94312556,0.940055533,0.781712513,0.129358101,1.296722284,1.364644177,9372610
2015,Brazil,South America,16,6.983,1.23287,0.69702,0.49049,0.17521,0.14574,0.890677323,0.271060039,0.411909603,0.265668232,-0.72500035,0.336207838,8515767
2015,Luxembourg,Europe,17,6.946,1.21963,0.91894,0.61583,0.37798,0.28034,0.841912249,1.172094693,1.246312785,1.960309872,0.34085632,1.786201792,2586
2015,Ireland,Europe,18,6.94,1.36948,0.89533,0.61777,0.28703,0.45901,1.39383418,1.076233896,1.259227594,1.20019912,1.755689986,1.218940526,70273
2015,Belgium,Europe,19,6.937,1.28566,0.89667,0.5845,0.2254,0.2225,1.085111482,1.081674534,1.037745275,0.685129019,-0.117161138,1.148913187,30528
2015,United Arab Emirates,Africa,20,6.901,1.12575,0.80925,0.64157,0.38583,0.26428,0.496136935,0.726733792,1.417667005,2.025915912,0.21368204,1.446168542,83600
2015,United Kingdom,Europe,21,6.867,1.28548,0.90943,0.59625,0.32067,0.51912,1.084448513,1.133482402,1.115966413,1.481343987,2.231682887,1.045763463,242900
2015,Oman,Africa,22,6.853,1.08182,0.76276,0.63274,0.32524,0.21542,0.334335597,0.537976126,1.358884652,1.519537568,-0.173225515,1.279038616,309500
2015,Venezuela,South America,23,6.81,1.25596,0.72052,0.42908,0.11069,0.05841,0.97572155,0.366474217,0.003095981,-0.273554921,-1.416540195,0.492985464,916445
2015,Singapore,Asia,24,6.798,1.02,1.02525,0.54252,0.4921,0.31105,0.106642479,1.603732194,0.758279458,2.914062912,0.584039518,1.681558948,710
2015,Panama,South America,25,6.786,1.1985,0.79661,0.5421,0.0927,0.24434,0.764087021,0.675413145,0.755483468,-0.42390558,0.055783214,0.54098928,75417
2015,Germany,Europe,26,6.75,1.29937,0.89186,0.61477,0.21843,0.28214,1.135607643,1.062145079,1.23925624,0.626877541,0.355109976,1.198932715,357114
2015,Chile,South America,27,6.67,1.12447,0.85857,0.44132,0.12869,0.33363,0.491422487,0.92698176,0.084579107,-0.123120687,0.762843705,0.649539121,756102
2015,Qatar,Africa,28,6.611,1.0786,0.79733,0.6404,0.52208,0.32573,0.322475814,0.678336473,1.409878176,3.164619485,0.700285996,2.101026195,11586
2015,France,Europe,29,6.575,1.26038,0.94579,0.55011,0.20646,0.12332,0.992001129,1.281110467,0.808806984,0.526838776,-0.902537546,1.074157633,551695
2015,Argentina,South America,30,6.574,1.24823,0.78723,0.44974,0.08484,0.11451,0.947250702,0.637328677,0.140632041,-0.489595195,-0.97230127,0.516054172,2780400
2015,Czech Republic,Europe,31,6.505,1.20643,0.84483,0.46364,0.02652,0.10686,0.793294502,0.871194917,0.233165983,-0.977002111,-1.032879305,0.8282905,78865
2015,Uruguay,South America,32,6.485,1.2089,0.8116,0.60362,0.24558,0.2324,0.802391913,0.73627521,1.165029373,0.85378251,-0.038766033,0.536335722,181034
2015,Colombia,South America,33,6.477,1.24018,0.69077,0.53466,0.0512,0.18401,0.917601243,0.245683928,0.705954509,-0.770740062,-0.421951801,0.18035097,1141748
2015,Thailand,Asia,34,6.455,1.26504,0.7385,0.55664,0.03187,0.5763,1.009164667,0.439476213,0.852277965,-0.932289714,2.684474004,0.300522264,513120
2015,Saudi Arabia,Africa,35,6.411,1.08393,0.72025,0.31048,0.32524,0.13706,0.342107071,0.365377969,-0.786438224,1.519537568,-0.793734644,1.366883857,2149690
2015,Spain,Europe,36,6.329,1.31379,0.95562,0.45951,0.06398,0.18227,1.188718849,1.321022014,0.205672085,-0.663931757,-0.435730334,0.95552923,505992
2015,Malta,Europe,37,6.302,1.30203,0.88721,0.60365,0.13586,0.51752,1.145404856,1.043265252,1.165229087,-0.063197718,2.219012971,0.899014629,316
2015,Taiwan,Asia,38,6.298,1.07617,0.8753,0.3974,0.08129,0.25376,0.313525728,0.994908535,-0.20780152,-0.519264169,0.130377343,1.107006279,36193
2015,Kuwait,Africa,39,6.295,1.16594,0.72492,0.55499,0.25609,0.16228,0.644163244,0.384338999,0.84129372,0.941619387,-0.594025095,1.7620879,17818
2015,Suriname,South America,40,6.269,0.972,0.6082,0.59657,0.13633,0.16991,-0.07014933,-0.089564952,1.11809669,-0.059269713,-0.533605434,0.371296164,163820
2015,Trinidad and Tobago,South America,41,6.168,1.18354,0.61483,0.55884,0.0114,0.31844,0.708986907,-0.062645974,0.866923625,-1.103366868,0.642558691,0.910038833,5130
2015,El Salvador,South America,42,6.13,1.02507,0.67737,0.4035,0.11776,0.10692,0.125316114,0.191277545,-0.1671931,-0.214467697,-1.032404184,-0.203057423,21041
2015,Guatemala,South America,43,6.123,1.04356,0.64425,0.57733,0.09472,0.27489,0.193417793,0.056804457,0.990013738,-0.407023516,0.297699419,-0.250364449,108889
