country,year,region,rank,score,social_support,health,freedom,trust,generosity,social_support_std,health_std,freedom_std,trust_std,generosity_std,gdp_std,total_area,pop,mililtarypower
United States,2020,North America,18,6.939599991,0.914219022,68.29949951,0.842619538,0.699715316,0.149891734,0.871482667,0.547847913,0.50476164,0.191323544,1.086894662,1.361046002,9372610,331003,0.9394
Russia,2020,Asia,73,5.546000004,0.903150737,64.10045624,0.729892612,0.864802599,-0.151153743,0.780051334,-0.049052656,-0.45542794,-0.754198801,-0.902675079,0.695664742,17098242,145934,0.9319
China,2020,Asia,94,5.123899937,0.798760593,69.2891922,0.898517907,0.7539711,-0.18142575,-0.082280096,0.688534277,0.980894836,-0.119421507,-1.10273877,0.328026356,9706961,1439324,0.9309
India,2020,Asia,144,3.573299885,0.592200935,60.21518707,0.881444871,0.772042692,0.057551607,-1.788599086,-0.601349746,0.835469498,-0.222924901,0.476630976,-0.37229589,3287590,1380004,0.9047
Japan,2020,Asia,62,5.870800018,0.883545935,75.00096893,0.809961379,0.654558063,-0.246910349,0.618102741,1.500472273,0.226584765,0.449957588,-1.535517824,1.072081372,377930,126476,0.8499
South Korea,2020,Asia,61,5.872399807,0.799387157,73.6027298,0.612965107,0.789067447,-0.043404032,-0.077104264,1.301710394,-1.451397368,-0.320432631,-0.19057149,1.014366635,100210,51781,0.8491
France,2020,Europe,23,6.663799763,0.937103748,73.80193329,0.825467646,0.583521128,-0.130641967,1.060525595,1.330027482,0.35866462,0.85681515,-0.767115465,1.075866904,551695,65274,0.8298
United Kingdom,2020,Europe,13,7.164500237,0.93668282,72.30160522,0.834743679,0.435915917,0.263732493,1.057048452,1.1167535,0.437676357,1.702210523,1.839253182,1.089152921,242900,67886,0.8283
Egypt,2020,Africa,138,4.151400089,0.735447824,61.78015137,0.708354175,0.787726879,-0.196878314,-0.605285319,-0.378887623,-0.638888836,-0.31275465,-1.204862721,0.017397197,1002450,102334,0.8128
Brazil,2020,South America,32,6.375599861,0.896723807,66.48016357,0.799804807,0.770601273,-0.101812392,0.726960654,0.289226463,0.140072741,-0.214669305,-0.576584616,0.22604933,8515767,212559,0.8012
Turkey,2020,Asia,93,5.131800175,0.826313555,66.90281677,0.608830452,0.748197377,-0.171046436,0.14532554,0.349307277,-1.486615686,-0.086353036,-1.034143256,0.69612181,783562,84339,0.7902
Italy,2020,Europe,30,6.38740015,0.889878571,73.60168457,0.66465199,0.873404682,-0.043460999,0.67041449,1.301561813,-1.011136924,-0.803466446,-0.190947977,0.990377757,301336,60462,0.7889
Germany,2020,Europe,17,7.075799942,0.898874462,72.20201874,0.867371082,0.456422031,0.080179386,0.744726482,1.102597126,0.715591257,1.584763627,0.626174974,1.199939244,357114,83784,0.7814
Iran,2020,Asia,118,4.672399998,0.694689691,66.00614929,0.647873282,0.714635968,0.117891103,-0.941974375,0.221844592,-1.154055224,0.105866871,0.875406724,0.432523624,1648195,83993,0.7809
